Address,RegName,BitName,Access,HW,MSB,LSB,Reset,Description
4'h1,CTRL,,,,,,,Control register for sine wave generation unit
,,EN,rw,cfg,0,0,1'b0,Enables stimuli generation
4'h2,INC,,,,,,,Increment register
,,VAL,rw,cfg,15,0,16'h1000,Increment for angle per sample (f=fs/2**16/INC). Counter is implemented as wrap-around counter.
4'h3,GAIN,,,,,,,Gain register
,,VAL,rw,cfg,15,0,16'h4000,Sine wave gain in 2f14 unsigned representation. 
4'h4,OFFSET,,,,,,,Offset register
,,VAL,rw,cfg,17,0,18'h0000,Signed offset added after applying gain.
4'hE,REGINFO,,,,,,,Register file information register
,,DATE,r,const,17,0,18'd210722,Date 
4'hF,ID,,,,,,,ID register
,,PERIPHERAL_TYPE,r,const,7,0,8'h01,Peripheral ID
,,VERSION,r,const,15,8,8'h01,Version
